Question,Axis,SD,D,A,SA,Direction
"My loyalty to my country comes first.",2,-1,-0.5,0.5,1,1
"Abortion should be permitted only in limited circumstances, such as when the mother’s life is at risk.",2,-1,-0.5,0.5,1,1
"Authority should be open to questioning and accountability.",2,-1,-0.5,0.5,1,-1
"Criminal justice systems should prioritise rehabilitation over severe punishment.",2,-1,-0.5,0.5,1,-1
"Adoption should be open to couples regardless of gender.",2,-1,-0.5,0.5,1,-1
"Societies function best with clear authority structures (systems).",2,-1,-0.5,0.5,1,1
"Accepting the existing social order is a sign of maturity.",2,-1,-0.5,0.5,1,1
"Our freedoms are restricted too much in the name of fighting terrorism.",2,-1,-0.5,0.5,1,-1
"All cultures should be treated as equally deserving of respect.",2,-1,-0.5,0.5,1,-1
"Drug policy should prioritise public health approaches over criminal penalties.",2,-1,-0.5,0.5,1,-1
"Corporations cannot be trusted to protect the environment so they need regulation.",1,-1,-0.5,0.5,1,-1
"Land should not be treated as a product that can be traded.",1,-1,-0.5,0.5,1,-1
"It is unfortunate that many people become wealthy only by manipulating money.",1,-1,-0.5,0.5,1,-1
"The idea of giving according to ability and receiving according to need is a good one.",1,-1,-0.5,0.5,1,-1
"A free market needs limits to prevent multinationals from creating monopolies.",1,-1,-0.5,0.5,1,-1
"A more open market leads to a freer population.",1,-1,-0.5,0.5,1,1
"A company should focus only on making profit for its shareholders.",1,-1,-0.5,0.5,1,1
"High-income earners should face lower tax burdens.",1,-1,-0.5,0.5,1,1
"Healthcare systems should allow supplementary private access beyond public coverage.",1,-1,-0.5,0.5,1,1
"Taxpayers should not support theatres or museums that cannot survive commercially.",1,-1,-0.5,0.5,1,1
